step_idx,layer_idx,operator_mode,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,sample_count,reducer,matched_events
0,-1,chol_nb,GRAM,MatMul,MATMUL,G = H^H @ H,16*64*64*16,35.00,96,median,CHOL_NB_GRAM
1,-1,chol_nb,REG,Add,VECTOR_ADD,A = G + RegI,16*16,1.00,96,median,CHOL_NB_REG
2,0,chol_nb,POTRF_DIAG_SQRT_0,Sqrt,SCALAR_SQRT,L_diag_0 = sqrt(A_diag_0),1*1,4.00,96,median,CHOL_NB_POTRF_DIAG_SQRT_0
3,0,chol_nb,TRSM_DIAG_INV_0,Div,SCALAR_DIV,"invL_{0} = 1/L_{0,0}",1,4.00,96,median,CHOL_NB_TRSM_DIAG_INV_0
4,1,chol_nb,POTRF_DIAG_SQRT_1,Sqrt,SCALAR_SQRT,L_diag_1 = sqrt(A_diag_1),1*1,4.00,96,median,CHOL_NB_POTRF_DIAG_SQRT_1
5,1,chol_nb,POTRF_DIAG_UPD_1_0,SubMul,VECTOR_MAC,"A_{1,1} = A_{1,1} - L_{1,0}^2",1,1.00,96,median,CHOL_NB_POTRF_DIAG_UPD_1_0
6,1,chol_nb,RK_UPDATE_1_10_0,SubMul,VECTOR_MAC,"A_{1,10} = A_{1,10} - L_{1,0}L_{10,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_10_0
7,1,chol_nb,RK_UPDATE_1_11_0,SubMul,VECTOR_MAC,"A_{1,11} = A_{1,11} - L_{1,0}L_{11,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_11_0
8,1,chol_nb,RK_UPDATE_1_12_0,SubMul,VECTOR_MAC,"A_{1,12} = A_{1,12} - L_{1,0}L_{12,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_12_0
9,1,chol_nb,RK_UPDATE_1_13_0,SubMul,VECTOR_MAC,"A_{1,13} = A_{1,13} - L_{1,0}L_{13,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_13_0
10,1,chol_nb,RK_UPDATE_1_14_0,SubMul,VECTOR_MAC,"A_{1,14} = A_{1,14} - L_{1,0}L_{14,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_14_0
11,1,chol_nb,RK_UPDATE_1_15_0,SubMul,VECTOR_MAC,"A_{1,15} = A_{1,15} - L_{1,0}L_{15,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_15_0
12,1,chol_nb,RK_UPDATE_1_1_0,SubMul,VECTOR_MAC,"A_{1,1} = A_{1,1} - L_{1,0}L_{1,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_1_0
13,1,chol_nb,RK_UPDATE_1_2_0,SubMul,VECTOR_MAC,"A_{1,2} = A_{1,2} - L_{1,0}L_{2,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_2_0
14,1,chol_nb,RK_UPDATE_1_3_0,SubMul,VECTOR_MAC,"A_{1,3} = A_{1,3} - L_{1,0}L_{3,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_3_0
15,1,chol_nb,RK_UPDATE_1_4_0,SubMul,VECTOR_MAC,"A_{1,4} = A_{1,4} - L_{1,0}L_{4,0}",1,1.00,96,median,CHOL_NB_RK_UPDATE_1_4_0
