step_idx,layer_idx,operator_mode,major_step,event_key,onnx_op,compute_op,formula,formula_dims,compute_cycles,matched_events,matched_units
0,-1,ldl_noblock,GRAM,GRAM,MatMul,MATMUL,G = H^H @ H,16*64*64*16,35.00,LDL_GRAM,Core0_Cube|Core10_Cube|Core11_Cube|Core12_Cube|Core13_Cube|Core14_Cube|Core15_Cube|Core16_Cube|Core17_Cube|Core18_Cube|Core19_Cube|Core1_Cube|Core20_Cube|Core21_Cube|Core22_Cube|Core23_Cube|Core2_Cube|Core3_Cube|Core4_Cube|Core5_Cube|Core6_Cube|Core7_Cube|Core8_Cube|Core9_Cube
1,-1,ldl_noblock,REG,REG,Add,VECTOR_ADD,A = G + RegI,16*16,1.00,LDL_REG,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
2,0,ldl_noblock,BWD_DIAG_0,BWD_DIAG_ACC_0_0,Add,VECTOR_ADD,"X_{0,0}^0 = Dinv + T_{0,0}^0",1*1,1.00,LDL_BWD_DIAG_ACC_0_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
3,0,ldl_noblock,BWD_DIAG_0,BWD_DIAG_MUL_0_0,MatMul,MATMUL,"T_{0,0}^0 = L @ X",1*(U-1*1)*1,1.00,LDL_BWD_DIAG_MUL_0_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
4,0,ldl_noblock,BWD_OFF_0_10,BWD_OFF_ACC_0_10_0,Add,VECTOR_ADD,"X_{0,10}^0 = X_{0,10} + T_{0,10}^0",1*1,1.00,LDL_BWD_OFF_ACC_0_10_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
5,0,ldl_noblock,BWD_OFF_0_11,BWD_OFF_ACC_0_11_0,Add,VECTOR_ADD,"X_{0,11}^0 = X_{0,11} + T_{0,11}^0",1*1,1.00,LDL_BWD_OFF_ACC_0_11_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
6,0,ldl_noblock,BWD_OFF_0_12,BWD_OFF_ACC_0_12_0,Add,VECTOR_ADD,"X_{0,12}^0 = X_{0,12} + T_{0,12}^0",1*1,1.00,LDL_BWD_OFF_ACC_0_12_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
7,0,ldl_noblock,BWD_OFF_0_13,BWD_OFF_ACC_0_13_0,Add,VECTOR_ADD,"X_{0,13}^0 = X_{0,13} + T_{0,13}^0",1*1,1.00,LDL_BWD_OFF_ACC_0_13_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
8,0,ldl_noblock,BWD_OFF_0_14,BWD_OFF_ACC_0_14_0,Add,VECTOR_ADD,"X_{0,14}^0 = X_{0,14} + T_{0,14}^0",1*1,1.00,LDL_BWD_OFF_ACC_0_14_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
9,0,ldl_noblock,BWD_OFF_0_15,BWD_OFF_ACC_0_15_0,Add,VECTOR_ADD,"X_{0,15}^0 = X_{0,15} + T_{0,15}^0",1*1,1.00,LDL_BWD_OFF_ACC_0_15_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
10,0,ldl_noblock,BWD_OFF_0_1,BWD_OFF_ACC_0_1_0,Add,VECTOR_ADD,"X_{0,1}^0 = X_{0,1} + T_{0,1}^0",1*1,1.00,LDL_BWD_OFF_ACC_0_1_0,Core0_Vector|Core10_Vector|Core11_Vector|Core12_Vector|Core13_Vector|Core14_Vector|Core15_Vector|Core16_Vector|Core17_Vector|Core18_Vector|Core19_Vector|Core1_Vector|Core20_Vector|Core21_Vector|Core22_Vector|Core23_Vector|Core2_Vector|Core3_Vector|Core4_Vector|Core5_Vector|Core6_Vector|Core7_Vector|Core8_Vector|Core9_Vector
